epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
4,967.788,0.56841,0.30627,0.00195,0.95747,0.94966,0.98711,0.91395,0.40057,0.24009,0.00203,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1320.41,0.54856,0.28186,0.00187,0.964,0.95724,0.98974,0.92565,0.36335,0.2169,0.00184,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1679.38,0.52667,0.26769,0.0018,0.97025,0.96336,0.99171,0.93751,0.34929,0.1825,0.00175,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,2050.94,0.51346,0.25704,0.00173,0.9678,0.96374,0.99037,0.92812,0.37714,0.19669,0.0019,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,2411.89,0.50215,0.24177,0.00166,0.9747,0.97023,0.99278,0.943,0.33844,0.15944,0.00169,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,2771.79,0.49013,0.2347,0.00165,0.97685,0.97282,0.99313,0.94202,0.34229,0.15607,0.00171,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,3131.5,0.48224,0.22948,0.00161,0.9779,0.97224,0.99308,0.94678,0.33699,0.15428,0.00168,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,3497.89,0.4721,0.22746,0.00158,0.97652,0.97132,0.9929,0.94656,0.32799,0.15005,0.00163,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,3864.27,0.47309,0.22112,0.00158,0.97817,0.97349,0.99331,0.9511,0.31873,0.15463,0.00159,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,4222.06,0.46551,0.21985,0.00156,0.97733,0.97747,0.99351,0.95041,0.32531,0.14207,0.00162,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
